PharmGKB Accession Id;Drug;ATC Identifiers;Type;Clin_Var_Pathway
PA164760859;INSULIN-GLULISINE;A10AB06;Drug;0:0:0
PA164747059;INSULIN-LISPRO;;Drug;0:0:0
PA164745627;INSULIN LYSPRO RECOMBINANT;A10AB04, A10AC04, A10AD04;Drug;0:0:0
PA166175761;INSULIN PEGLISPRO;;Drug;0:0:0
PA164781053;INSULIN, PORCINE;;Drug;0:0:0
PA164712832;INSULINS AND ANALOGUES;A10A;Drug Class;0:1:0
PA164712833;INSULINS AND ANALOGUES FOR INHALATION;A10AF;Drug Class;0:0:0
PA164712834;INSULINS AND ANALOGUES FOR INJECTION, FAST-ACTING;A10AB;Drug Class;0:0:0
PA164712835;INSULINS AND ANALOGUES FOR INJECTION, INTERMEDIATE-ACTING;A10AC;Drug Class;0:0:0
PA164712836;INSULINS AND ANALOGUES FOR INJECTION, INTERMEDIATE-ACTING COMBINED WITH FAST-ACTING;A10AD;Drug Class;0:0:0
PA164712837;INSULINS AND ANALOGUES FOR INJECTION, LONG-ACTING;A10AE;Drug Class;0:0:0
PA164749376;INTERFERON ALFACON-1;L03AB09;Drug;0:0:0
PA164746538;INTERFERON ALFA-N1;L03AB06;Drug;0:4:0
PA164746228;INTERFERON ALFA-N3;;Drug;0:0:0
PA164746386;INTERFERON GAMMA-1B;;Drug;0:0:0
PA451999;INTERFERONS;L03AB;Drug Class;109:564:0
PA164712838;INTERLEUKIN INHIBITORS;L04AC;Drug Class;7:35:0
PA164712839;INTERLEUKINS;L03AC;Drug Class;0:0:0
PA164712840;INTERMEDIATE-ACTING SULFONAMIDES;J01EC;Drug Class;2:13:0
PA164712841;INTESTINAL ADSORBENTS;A07B;Drug Class;0:0:0
PA164712842;INTESTINAL ANTIINFECTIVES;A07A;Drug Class;15:140:0
PA164712843;INTESTINAL ANTIINFLAMMATORY AGENTS;A07E;Drug Class;27:124:0
PA164712844;INTRAUTERINE CONTRACEPTIVES;G02BA;Drug Class;0:0:0
PA164712845;INTRAVAGINAL CONTRACEPTIVES;G02BB;Drug Class;0:0:0
PA450043;INULIN;;Drug;0:0:0
PA10116;IOBENGUANE (131I);;Drug;0:0:0
PA450049;IODINE;;Drug;0:0:0
PA164712846;IODINE (123I) COMPOUNDS;V09AB;Drug Class;0:0:0
PA164712847;IODINE (125I) COMPOUNDS;V09GB;Drug Class;0:0:0
PA164712848;IODINE (131I) COMPOUNDS;V09XA, V10XA;Drug Class;0:12:0
PA164712851;IODINE PRODUCTS;D08AG;Drug Class;0:0:0
PA164712850;IODINE THERAPY;H03C, H03CA;Drug Class;0:0:0
PA164745532;IODIPAMIDE;V08AC04;Drug;0:0:0
PA164783998;IODIXANOL;V08AB09;Drug;0:0:0
PA450061;IOHEXOL;V08AB02;Drug;0:0:0
PA164743143;IOPHENDYLATE;;Drug;0:0:0
PA450082;IPRATROPIUM;R01AX03, R03BB01;Drug;0:0:0
PA165949694;IPTAKALIM;;Drug;0:0:0
PA450085;IRINOTECAN;L01XX19;Prodrug;54:432:2
PA450087;IRON;;Drug;0:2:0
PA164712854;IRON BIVALENT, ORAL PREPARATIONS;B03AA;Drug Class;0:0:0
PA164712855;IRON CHELATING AGENTS;V03AC;Drug Class;19:40:0
PA164764618;IRON DEXTRAN;;Drug;0:0:0
PA164712856;IRON IN COMBINATION WITH FOLIC ACID;B03AD;Drug Class;0:0:0
PA164712857;IRON IN OTHER COMBINATIONS;B03AE;Drug Class;0:0:0
PA164712853;IRON PREPARATIONS;B03A;Drug Class;0:0:0
PA164712858;IRON TRIVALENT, ORAL PREPARATIONS;B03AB;Drug Class;0:0:0
PA164712859;IRON TRIVALENT, PARENTERAL PREPARATIONS;B03AC;Drug Class;0:0:0
PA164712860;IRRIGATING SOLUTIONS;B05C;Drug Class;1:5:0
PA166224941;ISATUXIMAB;L01FC02;Drug;0:0:0
PA166356301;ISAVUCONAZOLE;J02AC05;Drug;0:0:0
PA166400261;ISLATRAVIR;;Drug;0:0:0
PA450101;ISOCARBOXAZID;N06AF01;Drug;0:0:0
PA450103;ISOETHARINE;R03AC07, R03CC06;Drug;0:0:0
PA450106;ISOFLURANE;N01AB06;Drug;47:32:1
PA164748933;ISOFLUROPHATE;;Drug;0:0:0
PA165958379;ISOMETHEPTENE;A03AX10;Drug;0:0:0
PA450112;ISONIAZID;J04AC01;Drug;23:234:2
PA166176022;ISONIAZID / PYRAZINAMIDE / RIFAMPIN;J04AM05;Drug;0:21:0
PA164781398;ISOPROPAMIDE;A03AB09;Drug;0:0:0
PA450117;ISOPROPYL ALCOHOL;;Drug;0:0:0
PA450126;ISOSORBIDE MONONITRATE;C01DA14;Drug;0:0:0
PA165958421;ISOTHIPENDYL;D04AA22, R06AD09;Drug;0:0:0
PA164712861;ISOTONIC SOLUTIONS;B05DA;Drug Class;0:0:0
PA450128;ISOTRETINOIN;D10AD04, D10BA01;Drug;0:0:0
PA166049183;ISOXICAM;;Drug;0:0:0
PA166185381;ISPINESIB MESYLATE;;Drug;0:0:0
PA450131;ISRADIPINE;C08CA03;Drug;0:0:0
PA166299901;ITACITINIB;;Drug;0:0:0
PA450132;ITRACONAZOLE;J02AC02;Drug;0:1:0
PA166123415;IVABRADINE;C01EB17;Drug;0:0:0
PA166308201;IVARMACITINIB;;Drug;0:0:0
PA450133;IVERMECTIN;D11AX22, P02CF01;Drug;0:0:0
PA164712802;I.V. SOLUTION ADDITIVES;B05X;Drug Class;0:0:0
PA164712803;I.V. SOLUTIONS;B05B;Drug Class;0:0:0
PA165110439;IXABEPILONE;L01DC04;Drug;0:0:0
PA166300321;IXEKIZUMAB;L04AC13;Drug;0:0:0
PA166305885;JANUS-ASSOCIATED KINASE (JAK) INHIBITORS;L01EJ;Drug Class;0:0:0
PA166346421;JBPOS0101;;Drug;0:0:0
PA164749133;JOSAMYCIN;J01FA07;Drug;0:0:0
PA450137;KANAMYCIN;A07AA08, J01GB04, S01AA24;Drug;4:16:1
PA10457;KAOLIN;A07BC02;Drug;0:0:0
PA164749385;KETAZOLAM;N05BA10;Drug;0:0:0
PA166211241;KETOBEMIDONE;;Drug;0:2:0
PA450146;KETOCONAZOLE;D01AC08, G01AF11, J02AB02;Drug;0:14:1
PA450152;KETOTIFEN;R06AX17, S01GX08;Drug;0:0:0
PA164749508;KUNECATECHINS;D06BB12;Drug;0:0:0
PA140222784;KYOTORPHIN;;Drug;0:0:0
PA164743150;LABETALOL;C07AG01;Drug;0:7:1
PA166187141;LACIDIPINE;C08CA09;Drug;0:3:0
PA450161;LACTOSE;;Drug;0:0:0
PA164748762;LACTULOSE;A06AD11;Drug;0:0:0
PA166110255;LAFUTIDINE;;Drug;0:2:0
PA448055;L-ALANINE;;Drug;0:0:0
PA166184501;LAMIVUDINE / ABACAVIR;J05AR02;Drug;0:0:0
PA164924564;LANIQUIDAR;;Drug;0:0:0
PA450180;LANSOPRAZOLE;A02BC03;Drug;4:90:1
PA10305;LANTHANUM CARBONATE;;Drug;0:0:0
PA448478;L-ARGININE;;Drug;0:0:0
PA164776670;LARONIDASE;A16AB05;Drug;0:0:0
PA166129564;LAROPIPRANT;;Drug;0:1:0
PA166325721;LASMIDITAN;N02CC08;Drug;0:0:1
PA164776968;L-ASPARAGINE;;Drug;0:3:0
PA448494;L-ASPARTIC ACID;;Drug;0:0:0
PA164743144;LATAMOXEF;J01DD06;Drug;0:0:0
PA166153449;LATONDUINE A;;Drug;0:1:0
PA164712862;LAXATIVES;A06, A06A;Drug Class;0:0:0
PA450154;L-CARNITINE;;Drug;0:0:0
PA164747225;L-CITRULLINE;;Drug;0:0:0
PA449173;L-CYSTEINE;;Drug;0:0:0
PA449176;L-CYSTINE;;Drug;0:0:0
PA450191;LECITHIN;;Drug;0:0:0
PA166163427;LEDIPASVIR / SOFOSBUVIR;J05AP51;Drug;0:2:0
PA166325461;LEFAMULIN;J01XX12;Drug;0:0:0
PA166340543;LENABASUM;;Drug;0:0:0
PA166319281;LENACAPAVIR;J05AX31;Drug;0:0:0
PA166313326;LENIOLISIB;;Drug;0:0:0
PA166211881;LENZILUMAB;;Drug;0:0:0
PA450195;LEPIRUDIN;B01AE02;Drug;0:0:0
PA164769058;LERCANIDIPINE;C08CA13;Drug;0:0:0
PA166211921;LERONLIMAB;;Drug;0:0:0
PA166160006;LESINURAD;M04AB05;Drug;0:0:0
PA164712863;LEUKOTRIENE RECEPTOR ANTAGONISTS;R03DC;Drug Class;16:26:0
PA450203;LEUPROLIDE;L02AE02;Drug;0:1:0
PA166400081;LEVACETYLLEUCINE;;Drug;0:0:0
PA164749284;LEVALLORPHAN;;Drug;0:0:0
PA450205;LEVAMISOLE;P02CE01;Drug;0:1:0
PA164747027;LEVOBUNOLOL;S01ED03;Drug;0:0:0
PA164754741;LEVOBUPIVACAINE;N01BB10;Drug;0:0:0
PA164742988;LEVOCABASTINE;R01AC02, S01GX02;Drug;0:0:0
PA450214;LEVOFLOXACIN;J01MA12, S01AE05;Drug;0:9:0
PA166129561;LEVOMEFOLIC ACID;;Drug, Biological Intermediate;0:2:2
PA134687942;LEVOMEPROMAZINE;;Drug;0:2:0
PA166227621;LEVOMETHADONE;N07BC05;Drug;0:0:0
PA450215;LEVOMETHADYL ACETATE;N07BC03;Drug;0:0:0
PA166182150;LEVOMILNACIPRAN;;Drug;0:0:0
PA165958380;LEVONORDEFRIN;;Drug;0:0:0
PA450218;LEVONORGESTREL;G03AC03, G03AD01;Drug;0:9:0
PA164744368;LEVORPHANOL;;Drug;0:0:0
PA164749138;LEVOSIMENDAN;C01CX08;Drug;0:0:0
PA450221;LEVOTHYROXINE;H03AA01;Drug;0:8:0
PA449776;L-GLUTAMIC ACID;;Drug;0:0:0
PA10090;L-GLUTAMINE;A16AA03;Drug;0:0:0
PA449882;L-HISTIDINE;;Drug;0:0:0
PA450226;LIDOCAINE;C01BB01, C05AD01, D04AB01, N01BB02, R02AD02, S01HA07, S02DA01;Drug;0:3:1
PA166182735;LIDOCAINE AND TETRACAINE;N01BA53, N01BB52;Drug;0:0:0
PA166176018;LIDOCAINE / PRILOCAINE;;Drug;0:0:0
PA165818137;LIDOFLAZINE;;Drug;0:0:0
PA166318541;LIMERTINIB;;Drug;0:0:0
PA166368161;LINAGLIPTIN;A10BH05;Drug;0:0:0
PA164749212;LINCOMYCIN;J01FF02;Drug;0:0:0
PA164712864;LINCOSAMIDES;J01FF;Drug Class;2:2:0
PA164754914;LINDANE;P03AB02;Drug;0:0:0
PA450233;LINEZOLID;J01XX08;Drug;0:0:0
PA164748036;LIOTRIX;;Drug;0:0:0
PA450239;LIPASE;;Drug;0:0:0
PA164712865;LIPID MODIFYING AGENTS;C10;Drug Class;220:925:0
PA164712866;LIPID MODIFYING AGENTS, COMBINATIONS;C10B;Drug Class;0:0:0
PA164712867;LIPID MODIFYING AGENTS, PLAIN;C10A;Drug Class;220:925:0
PA164776929;LIPOIC ACID;A16AX01;Drug;0:0:0
PA164712868;LIQUID PLASTERS;D02AD;Drug Class;0:0:0
PA164748975;LISDEXAMFETAMINE;N06BA12;Drug;0:1:0
PA164750430;L-ISOLEUCINE;;Drug;0:0:0
PA164749019;LISURIDE;G02CB02, N02CA07;Drug;0:0:0
PA450249;LIVER EXTRACT;;Drug;0:0:0
PA164712871;LIVER THERAPY;A05BA;Drug Class;0:0:0
PA164712870;LIVER THERAPY, LIPOTROPICS;A05B;Drug Class;0:0:0
PA166347561;LIXISENATIDE;A10BJ03;Drug;0:0:0
PA450197;L-LEUCINE;;Drug;0:0:0
PA450280;L-LYSINE;;Drug;0:0:0
PA450453;L-METHYLDOPA;;Drug;0:0:0
PA164712872;LOCAL ANESTHETICS;C05AD, D04AB, N01, N01A, N01B, R02AD, S01H, S01HA;Drug Class;342:616:0
PA164712873;LOCAL HEMOSTATICS;B02BC;Drug Class;0:0:0
PA164744510;LOFEXIDINE;N07BC04;Drug;0:0:0
PA164749165;LOMEFLOXACIN;J01MA07, S01AE04;Drug;0:0:0
PA137867605;LOMEGUATRIB;;Drug;0:0:0
PA166114922;LOMITAPIDE;C10AX12;Drug;0:0:1
PA164749407;LOMUSTINE;L01AD02;Drug;0:0:0
PA164712874;LONG-ACTING SULFONAMIDES;J01ED;Drug Class;1:2:0
PA450262;LOPERAMIDE;A07DA03;Drug;0:4:0
PA166182605;LOPINAVIR / RITONAVIR;J05AR10;Drug;0:0:0
PA164754806;LORACARBEF;J01DC08;Drug;0:0:0
PA450266;LORATADINE;R06AX13;Drug;0:0:0
PA166353881;LORCASERIN;A08AA11;Drug;0:0:0
PA136437519;LORENZO'S OIL;;Drug;0:0:0
PA164783814;L-ORNITHINE;;Drug, Biological Intermediate;0:0:0
PA165958395;LORNOXICAM;M01AC05;Drug;1:6:1
PA166169432;LOSIGAMONE;;Drug;0:0:0
PA164764569;LOTEPREDNOL ETABONATE;S01BA14;Drug;0:0:0
PA450272;LOVASTATIN;C10AA02;Drug;12:17:1
PA164712877;LOW-CEILING DIURETICS AND POTASSIUM-SPARING AGENTS;C03EA;Drug Class;50:120:0
PA164712875;LOW-CEILING DIURETICS, EXCL. THIAZIDES;C03B;Drug Class;7:8:0
PA164712876;LOW-CEILING DIURETICS, THIAZIDES;C03A;Drug Class;52:122:0
PA164712878;LOW-ENERGY DIETS;V06AA;Drug Class;0:0:0
PA450273;LOXAPINE;N05AH01;Drug;0:0:0
PA451125;L-PROLINE;;Drug;0:0:0
PA451330;L-SERINE;;Drug, Biological Intermediate;0:0:2
PA451673;L-THREONINE;;Drug;0:0:0
PA451822;L-TYROSINE;;Drug, Biological Intermediate;0:0:1
PA164777012;LUBIPROSTONE;A06AX03;Drug;0:0:0
PA164748783;LUCANTHONE;;Drug;0:0:0
PA166131607;LUCITANIB;;Drug;0:0:0
PA166235281;LUMASIRAN;A16AX18;Drug;0:0:0
PA164769031;LUMIRACOXIB;M01AH06;Drug;0:3:0
PA164712879;LUNG SURFACTANTS;R07AA;Drug Class;0:0:0
PA166117453;LURBINECTEDIN;L01XX69;Drug;0:0:0
PA166190001;LUSPATERCEPT;B03XA06;Drug;0:0:0
PA166182748;LUSUTROMBOPAG;B02BX07;Drug;0:0:0
PA164750539;LUTROPIN ALFA;G03GA07;Drug;0:0:0
PA451843;L-VALINE;;Drug;0:0:0
PA165816891;LY2140023;;Drug;0:0:0
PA164747190;LYMECYCLINE;J01AA04;Drug;0:0:0
PA166366902;LYSERGIC ACID DIETHYLAMIDE;;Drug;0:0:0
PA166261201;MACITENTAN;;Drug;0:5:0
PA164712882;MACROLIDES;J01FA;Drug Class;2:15:0
PA164712883;MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS;J01F;Drug Class;4:26:0
PA166114925;MAFENIDE;D06BA03;Drug;0:1:0
PA164712884;MAGNESIUM;A02AA, A12CC;Drug Class;0:0:0
PA450290;MAGNESIUM ACETATE;;Drug;0:0:0
PA450294;MAGNESIUM CHLORIDE;;Drug;0:0:0
PA164712885;MAGNESIUM COMPOUNDS;A02AA;Drug Class;0:0:0
PA450296;MAGNESIUM GLUCONATE;;Drug;0:0:0
PA166234822;MAGNESIUM HYDROXIDE;;Drug;0:0:0
PA450298;MAGNESIUM OXIDE;A02AA02, A06AD02, A12CC10;Drug;0:0:0
PA450302;MAGNESIUM SULFATE;A06AD04, A12CC02, B05XA05, D11AX05, V04CC02;Drug;0:0:0
PA166182547;MAGNESIUM TRISILICATE;;Drug;0:0:0
PA164712886;MAGNETIC RESONANCE IMAGING CONTRAST MEDIA;V08C;Drug Class;0:0:0
PA164748092;MALATHION;P03AX03;Drug;0:0:0
PA166305883;MAMMALIAN TARGET OF RAPAMYCIN (MTOR) KINASE INHIBITORS;L01EG;Drug Class;26:84:0
PA450320;MANNITOL;A06AD16, B05BC01, B05CX04, R05CB16;Drug;0:0:0
PA164712880;MAO INHIBITORS;C02KC;Drug Class;0:0:0
PA164712881;MAO INHIBITORS AND DIURETICS;C02LL;Drug Class;0:0:0
PA166268803;MARALIXIBAT;A05AX04;Drug;0:0:0
PA166335461;MARIBAVIR;J05AX10;Drug;0:0:0
PA164748329;MARIMASTAT;;Drug;0:0:0
PA166185383;MASITINIB;;Drug;0:0:0
PA164746493;MASOPROCOL;L01XX10;Drug;0:0:0
PA166272922;MAVACAMTEN;C01EB24;Drug;0:1:0
PA166353004;MAVORIXAFOR;;Drug;0:0:0
PA166209301;MAVRILIMUMAB;;Drug;0:0:0
PA165291473;MAYTANSINE;;Drug;0:0:0
PA450326;MAZINDOL;A08AA05;Drug;0:0:0
PA164776669;MEBENDAZOLE;P02CA01;Drug;0:0:0
PA450334;MECAMYLAMINE;C02BB01;Drug;0:0:0
PA164774876;MECASERMIN;H01AC03;Drug;0:0:0
PA450336;MECHLORETHAMINE;L01AA05;Drug;0:0:0
PA450338;MECLIZINE;R06AE05;Drug;0:0:0
PA450341;MECLOFENAMIC ACID;M01AG04, M02AA18;Drug;0:0:0
PA164712888;MEDICAL GASES;V03AN;Drug Class;0:0:0
PA164712890;MEDICATED DRESSINGS;D09, D09A;Drug Class;0:0:0
PA164712891;MEDICATED DRESSINGS WITH ANTIINFECTIVES;D09AA;Drug Class;0:0:0
PA164712892;MEDICATED SHAMPOOS;D11AC;Drug Class;0:0:0
PA165290930;MEDROXYPROGESTERONE / CONJUGATED ESTROGENS;G03FA12, G03FB06;Drug;0:0:0
PA450346;MEDRYSONE;S01BA08;Drug;0:0:0
PA450347;MEFENAMIC ACID;M01AG01;Drug;0:0:0
PA450351;MEGESTROL;;Drug;0:0:0
PA162360980;MEGLITINIDES;;Drug Class;0:0:0
PA166127606;MELACINE(RIBI IMMUNOCHEM);;Drug;0:0:0
PA10136;MELARSOPROL;P01CD01;Drug;0:0:0
PA164752558;MELATONIN;N05CH01;Drug, Biological Intermediate;0:0:1
PA164712893;MELATONIN RECEPTOR AGONISTS;N05CH;Drug Class;0:1:0
PA450353;MELOXICAM;M01AC06;Drug;1:5:1
PA166301641;MELPERONE;;Drug;0:0:0
PA450358;MENADIONE;B02BA02;Drug;0:0:0
PA166123066;MENADIONE SODIUM BISULFITE;;Drug;0:1:0
PA164712894;MENINGOCOCCAL VACCINES;J07AH;Drug Class;0:0:0
PA164776605;MENTHOL;;Drug;0:0:0
PA164746250;MEPENZOLATE;A03AB12;Drug;0:0:0
PA166184711;MEPHEDRONE;;Drug;0:1:0
PA164745533;MEPHENTERMINE;C01CA11;Drug;0:0:0
PA164748741;MEPIVACAINE;N01BB03;Drug;0:0:0
PA166313323;MEPOLIZUMAB;R03DX09;Drug;0:0:0
PA450377;MEPROBAMATE;N05BC01;Drug;0:0:0
PA165958366;MEPYRAMINE;D04AA02, R06AC01;Drug;0:0:0
PA164748010;MEQUITAZINE;R06AD07;Drug;0:0:0
PA450379;MERCAPTOPURINE;L01BB02;Drug, Metabolite;41:387:1
PA164712895;MERCURIAL DIURETICS;C03BC;Drug Class;0:0:0
PA164712896;MERCURIAL PRODUCTS;D08AK;Drug Class;0:0:0
PA166210763;MERIMEPODIB;;Drug;0:0:0
PA164764445;MEROPENEM;J01DH02;Drug;0:0:0
PA450384;MESALAZINE;A07EC02;Drug;0:3:1
PA450385;MESNA;R05CB05, V03AF01;Drug;0:0:0
PA450386;MESORIDAZINE;N05AC03;Drug, Metabolite;0:0:0
PA450388;MESTRANOL;;Drug;0:0:0
PA166183788;METABUTETHAMINE;N01BA01;Drug;0:0:0
PA164748761;METARAMINOL;C01CA09;Drug;0:0:0
PA164747189;METAXALONE;;Drug;0:0:0
PA450398;METHACHOLINE CHLORIDE;;Drug;0:2:0
PA164750512;METHACYCLINE;J01AA05;Drug;0:0:0
PA450401;METHADONE;N07BC02;Drug;100:468:1
PA164746889;METHADYL ACETATE;;Drug;0:0:0
PA164712897;METHANOLQUINOLINES;P01BC;Drug Class;1:9:0
PA164747037;METHANTHELINE;A03AB07;Drug;0:0:0
PA164746525;METHARBITAL;N03AA30;Drug;0:0:0
PA450413;METHAZOLAMIDE;S01EC05;Drug;2:14:0
PA164743018;METHDILAZINE;R06AD04;Drug;0:0:0
PA450423;METHIONINE;V03AB26;Drug, Biological Intermediate;0:0:2
PA164749506;METHOCARBAMOL;M03BA03;Drug;0:0:0
PA164784030;METHOHEXITAL;N01AF01, N05CA15;Drug;0:0:0
PA450428;METHOTREXATE;L01BA01, L04AX03;Drug;175:1029:5
PA164743234;METHOTRIMEPRAZINE;N05AA02;Drug;0:0:0
PA450431;METHOXAMINE;C01CA10;Drug;0:0:1
PA450434;METHOXYFLURANE;N02BG09;Drug;47:1:1
PA166182621;METHOXYPHENAMINE;;Drug;0:0:0
PA164743145;METHSUXIMIDE;N03AD03;Drug;0:0:0
PA164748094;METHYCLOTHIAZIDE;C03AA08;Drug;0:0:0
PA164784028;METHYL AMINOLEVULINATE;L01XD03;Drug;0:0:0
PA165816878;METHYLCHOLANTHRENE;;Drug;0:0:0
PA164712898;METHYLDOPA;C02AB;Drug Class;0:3:0
PA164712899;METHYLDOPA AND DIURETICS IN COMBINATION;C02LB;Drug Class;0:0:0
PA166250241;METHYLENE DIACETATE;;Drug;0:0:0
PA450461;METHYLERGONOVINE;G02AB01;Drug;0:0:0
PA164712900;METHYLHYDRAZINES;L01XB;Drug Class;0:2:0
PA164784032;METHYLSCOPOLAMINE;;Drug;0:0:0
PA165958383;METHYLTESTOSTERONE;G03BA02, G03EK01;Drug;0:0:0
PA164746748;METHYPRYLON;N05CE02;Drug;0:0:0
PA164777034;METICILLIN;J01CF03;Drug;0:0:0
PA164748727;METIPRANOLOL;S01ED04;Drug;0:0:0
PA164783811;METIXENE;N04AA03;Drug;0:0:0
PA450475;METOCLOPRAMIDE;A03FA01;Drug;0:8:1
PA164749507;METOCURINE;M03AA04;Drug;0:0:0
PA164781022;METOLAZONE;C03BA08;Drug;0:0:0
PA450480;METOPROLOL;C07AB02;Drug;17:92:2
PA164742936;METRIZAMIDE;V08AB01;Drug;0:0:0
PA450486;METYRAPONE;V04CD01;Drug;0:0:0
PA450487;METYROSINE;C02KB01;Drug;0:0:1
PA164750540;MEZLOCILLIN;J01CA10;Drug;0:0:0
PA165290932;MI-63;;Drug;0:0:0
PA450492;MIBEFRADIL;C08CX01;Drug;0:0:0
PA164781026;MICAFUNGIN;J02AX05;Drug;0:0:0
PA450494;MICONAZOLE;A01AB09, A07AC01, D01AC02, G01AF04, J02AB01, S02AA13;Drug;0:0:0
PA164749381;MIDODRINE;C01CA17;Drug;0:0:0
PA450500;MIFEPRISTONE;G03XB01;Drug;0:0:0
PA164776726;MIGLITOL;A10BF02;Drug;0:0:0
PA10140;MIGLUSTAT;A16AX06;Drug;0:0:0
PA164712901;MILK SUBSTITUTES;V06DF;Drug Class;0:0:0
PA164749171;MILRINONE;C01CE02;Drug;0:0:0
PA166338801;MILTIRONE;;Drug;0:0:0
PA164752445;MIMOSINE;;Drug;0:0:0
PA164748351;MINAPRINE;N06AX07;Drug;0:0:0
PA164712903;MINERALOCORTICOIDS;H02AA;Drug Class;0:1:0
PA164712902;MINERAL SUPPLEMENTS;A12;Drug Class;0:0:0
PA450521;MINOXIDIL;C02DC01, D11AX01;Drug;0:0:0
PA166114927;MIPOMERSEN;C10AX11;Drug;0:0:0
PA166177513;MIRABEGRON;G04BD12;Drug;0:8:0
PA166049181;MIROPROFEN;;Drug;0:0:0
PA450522;MIRTAZAPINE;N06AX11;Drug;10:33:0
PA450523;MISOPROSTOL;A02BB01, G02AD06;Drug;0:2:0
PA166278021;MITAPIVAT;B06AX04;Drug;0:0:0
PA164748124;MITIGLINIDE;A10BX08;Drug;0:0:0
PA166358101;MITIPERSTAT;;Drug;0:0:0
PA166305881;MITOGEN-ACTIVATED PROTEIN KINASE (MEK) INHIBITORS;L01EE;Drug Class;0:12:0
PA450524;MITOMYCIN;L01DC03;Drug;0:0:0
PA166415841;MITRAGYNINE;;Drug;0:0:0
PA450528;MIVACURIUM;M03AC10;Drug;0:5:0
PA165964366;MK-7246;;Drug;0:0:0
PA452615;MOCLOBEMIDE;N06AG02;Drug;0:1:0
PA164769059;MOEXIPRIL;C09AA13;Drug;0:0:0
PA166334901;MOGAMULIZUMAB;L01FX09;Drug;0:0:0
PA164746756;MOLINDONE;N05AE02;Drug;0:0:0
PA450536;MOLYBDENUM;;Drug;0:0:0
PA166334801;MOMELOTINIB;L01EJ04;Drug;0:0:1
PA450541;MOMETASONE;D07AC13, D07XC03, R01AD09, R03BA07;Drug;0:0:0
PA164712904;MONOAMINE OXIDASE A INHIBITORS;N06AG;Drug Class;0:1:0
PA164712905;MONOAMINE OXIDASE B INHIBITORS;N04BD;Drug Class;3:10:0
PA164712906;MONOAMINE OXIDASE INHIBITORS, NON-SELECTIVE;N06AF;Drug Class;0:12:0
PA164712907;MONOBACTAMS;J01DF;Drug Class;0:0:0
PA164764582;MONOBENZONE;D11AX13;Drug;0:0:0
PA164712908;MONOCLONAL ANTIBODIES;L01F, L01XC;Drug Class;70:386:0
PA164747738;MORICIZINE;C01BG01;Drug;0:0:0
PA164712909;MORPHINAN DERIVATIVES;N02AF;Drug Class;3:8:0
PA166118340;MOTESANIB;;Drug;0:0:1
PA166163260;MOVIPREP;A06AD15;Drug;0:0:0
PA166334922;MOXETUMOMAB PASUDOTOX;L01FB02;Drug;0:0:0
PA450555;MOXIFLOXACIN;J01MA14, S01AE07;Drug;0:3:0
PA140222720;MPP+;;Drug;0:0:0
PA164712910;MUCOLYTICS;R05CB;Drug Class;1:6:0
PA164712912;MULTIVITAMINS, COMBINATIONS;A11A;Drug Class;0:0:0
PA164712914;MULTIVITAMINS, OTHER COMBINATIONS;A11AB;Drug Class;0:0:0
PA164712913;MULTIVITAMINS, PLAIN;A11B, A11BA;Drug Class;0:2:0
PA164712911;MULTIVITAMINS WITH MINERALS;A11AA;Drug Class;0:0:0
PA164712916;MUMPS VACCINES;J07BE;Drug Class;0:0:0
PA164764568;MUPIROCIN;D06AX09, R01AX06;Drug;0:0:0
PA164743097;MUROMONAB;L04AA02;Drug;0:0:0
PA164712917;MUSCLE RELAXANTS;C05AE, M03;Drug Class;61:112:0
PA164712918;MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS;M03B;Drug Class;2:6:0
PA164712919;MUSCLE RELAXANTS, DIRECTLY ACTING AGENTS;M03C;Drug Class;0:0:0
PA452389;MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS;M03A;Drug Class;58:93:0
PA164712921;MUSCULO-SKELETAL SYSTEM;M;Drug Class;157:567:0
PA165107990;MYCLOBUTANIL;;Drug;0:0:0
PA164712922;MYDRIATICS AND CYCLOPLEGICS;S01F;Drug Class;2:11:0
PA164746998;NABILONE;A04AD11;Drug;0:0:0
PA450572;NABUMETONE;M01AX01;Drug;0:0:0
PA164752287;N-ACETYL-D-GLUCOSAMINE;;Drug;0:0:0
PA448014;N-ACETYLETHANOLAMINE;;Drug, Biological Intermediate;0:0:0
PA450573;NADOLOL;C07AA12;Drug;0:0:0
PA10815;NADROPARIN;;Drug;0:0:0
PA166220602;NAFAMOSTAT;;Drug;0:0:0
PA164754805;NAFARELIN;H01CA02;Drug;0:0:0
PA450576;NAFCILLIN;J01CF06;Drug;0:0:0
PA164748617;NAFTIFINE;D01AE22;Drug;0:0:0
PA164745372;NALBUPHINE;N02AF02;Drug;0:0:0
PA166325183;NALDEMEDINE;A06AH05;Drug;0:0:0
PA164746384;NALIDIXIC ACID;J01MB02;Drug;0:2:0
PA166176241;NALMEFENE;;Drug;0:5:0
PA164746281;NANDROLONE;;Drug;0:0:0
PA165958423;NANDROLONE DECANOATE;;Drug;0:0:0
PA165958384;NAPHAZOLINE;R01AA08, R01AB02, S01GA01;Drug;0:0:0
PA154081779;NAPHTHOL;;Drug;0:0:0
