FLUORURO SODICO;SODIUM FLUORIDE
POTASIO CLORURO; POTASSIUM CHLORIDE
POTASIO HIDROGENOCARBONATO; POTASSIUM HYDROGEN CARBONATE
POTASIO GLUCONATO; POTASSIUM GLUCONATE
ASOCIACIONES DE POTASIO; POTASSIUM ASSOCIATIONS
POTASIO CLORURO EN ASOCIACION; POTASSIUM CHLORIDE IN ASSOCIATION
POTASIO GLUCOHEPTONATO; POTASSIUM GLUCOHEPTONATE
SODIO CLORURO (SUPLEMENTO MINERAL); SODIUM CHLORIDE (MINERAL SUPPLEMENT)
ZINC NE; ZINC NE
MAGNESIO SULFATO; MAGNESIUM SULFATE
MAGNESIO LACTATO; MAGNESIUM LACTATE
MAGNESIO PIDOLATO; MAGNESIUM PIDOLATE
MAGNESIO, SALES EN ASOCIACION; MAGNESIUM, SALTS IN ASSOCIATION
SELENITO DE SODIO; SODIUM SELENITE
FOSFORO; PHOSPHORUS
COBRE; COPPER
OTROS SUPLEMENTOS MINERALES NE; OTHER MINERAL SUPPLEMENTS NE
CÃ¯Â¿Â½DIGO INEXISTENTE ATC NE; NON-EXISTENT ATC NE CODE
TONICOS NE NE; NE NE TONICS
ARGININA ASPARTATO; ARGININE ASPARTATE
ESTANOZOLOL; STANOGLOZOLOL
METENOLONA; METHENOLONE
OXANDROLONA; OXANDROLONE
NANDROLONA; NANDROLONE
ESTIMULANTES DEL APETITO NE NE NE; APPETITE STIMULANTS NE NE NE
CIPROHEPTADINA EN ASOCIACION; CYPROHEPTADINE IN ASSOCIATION
ARGININA + GLUTODINA; ARGININE + GLUTODINE
ESTIMULANTES DEL APETITO NE; APPETITE STIMULANTS NE
CARNITINA; CARNITINE
S-ADENOSIL METIONINA; S-ADENOSYL METHIONINE
MERCAPTAMINA; Mercaptamine
CARGLUTAMICO ACIDO;CARGLUTAMIC ACID
BETAINA; BETAINE
METRELEPTINA; Metreleptin
AMINOACIDOS Y DERIVADOS NE; AMINO ACIDS AND DERIVATIVES NE
ALGLUCERASA; Glucosease
IMIGLUCERASA; Imiglucerase
AGALSIDASA ALFA; AGALSIDASE ALPHA
AGALSIDASA BETA; AGALSIDASE BETA
LARONIDASA; LARONIDASE
SACROSIDASA; SACROSIDASE
ALGLUCOSIDASA ALFA; ALPHA ALGLUCOSIDASE
GALSULFASA; GALSULFASE
IDURSULFASA; IDURSULFASE
VELAGLUCERASA ALFA; VELAGLUCERASE ALPHA
TALIGLUCERASA ALFA; TALIGLUCERASE ALPHA
ELOSULFASA ALFA; ELOSULFASE ALPHA
ASFOTASA ALFA; ALPHA ASFOTASE
SEBELIPASE ALFAÃ¯Â¿Â½; SEBELIPASE ALFAÃ¯Â¿Â½
VELMANASA ALFA; VELMANASA ALFA
VESTRONIDASA ALFA; VESTRONIDASE ALPHA
ENZIMAS (APARAT. DIGESTIVO Y METABOLISMO) NE; ENZYMES (DIGESTIVE SYSTEM AND METABOLISM) NE
ANETOL TRITIONA; ANETHOLE TRITHIONE
FENILBUTIRATO SODICO; SODIUM PHENYLBUTYRATE
NITISINONA; Nitisinone
ZINC ACETATO; ZINC ACETATE
MIGLUSTAT; MIGLUSTAT
SAPROPTERINA; SAPROPTERINA
TEDUGLUTIDA; TEDUGLUTIDE
GLICEROL, FENILBUTIRATO DE; GLYCEROL, PHENYLBUTYRATE
ELIGLUSTAT; ELIGLUSTAT
MIGALASTAT; MIGALASTAT
TELOTRISTAT; TELOTRISTAT
TETRAHIDROBIOPTERINA; TETRAHYDROBIOPTERIN
ANIS VERDE EN ASOCIACION; GREEN ANISE IN ASSOCIATION
VARIOS PDTOS. METABOLISMO Y APARATO DIGESTIVO; MISCELLANEOUS POST. METABOLISM AND DIGESTIVE SYSTEM
FENILACETATO SODICO+BENZOATO SODICO; SODIUM PHENYLCACETATE+SODIUM BENZOATE
SALIVA ARTIFICIAL; ARTIFICIAL SALIVA
OTROS PREPARADOS APARATO DIGESTIVO Y METABOLISMO NE; OTHER PREPARATIONS DIGESTIVE SYSTEM AND METABOLISM NE
WARFARINA; Warfarin
FENPROCUMONA; PHENPROCOUMONE
ACENOCUMAROL; ACENOCOUMAROLE
FLUINDIONA; FLUINDIONA
HEPARINA; HEPARIN
ANTITROMBINA III; ANTITHROMBIN III
DALTEPARINA; DALTEPARIN
ENOXAPARINA;ENOXAPARIN
NADROPARINA; Nadroparin
PARNAPARINA; PARNAPARINA
REVIPARINA; REVIPARIN
DANAPAOIDE; DANAPAOID
TINZAPARINA; TINZAPARIN
SULODEXIDA; SULODEXIDE
BEMIPARINA; BEMIPARIN
HEPARINAS NE; HEPARINS NE
DITAZOL; DITAZOLE
CLOPIDOGREL; CLOPIDOGREL
TICLOPIDINA; TICLOPIDINE
ACETILSALICILICO ACIDO; ACETYLSALICYLIC ACID
DIPIRIDAMOL; Dipyridamole
CARBASALATO CALCICO; Calcium Carbasalate
EPOPROSTENOL; EPOPROSTENOL
ILOPROST; ILOPROST
ABCIXIMAB; ABCIXIMAB
EPTIFIBATIDA; EPTIFIBATIDE
TIROFIBAN; TIROFIBAN
TRIFLUSAL; TRIFLUSAL
TREPROSTINIL; TREPROSTINIL
PRASUGREL; PRASUGREL
CILOSTAZOL; CILOSTAZOL
TICAGRELOR; TICAGRELOR
CANGRELOR; CANGRELOR
SELEXIPAG; SELEXIPAG
ANTIAGREGANTES PLAQUETARIOS EN ASOCIACION (CLOPIDOGREL+AAS); ANTI-PLATELET AGENTS IN ASSOCIATION (CLOPIDOGREL+ASA)
ACETILSACILICO ACIDO ASOC. A ESOMEPRAZOL; ACETYLSACYLIC ACID ASSOCIATED WITH ESOMEPRAZOLE
ACETILSALICILICO ACIDO+DIPIRIDAMOL; ACETYLSALICYLIC ACID+DIPIRIDAMOL
SULFINPIRAZONA; SULFINPYRAZONE
INHIBIDORES DE LA AGREGACION PLAQUETARIA NE; PLATELET AGGREGATION INHIBITORS NE
ESTREPTOQUINASA; STREPTOKINASE
ALTEPLASA; ALTEPLASE
ANISTREPLASA; ANISTREPLASA
UROQUINASA; UROKINASE
RETEPLASA; RETEPLASA
SARUPLASE; SARUPLASE
ANCROD; ANCROD
DROTRECOGINA ALFA; Drotrecogin Alpha
TENECTEPLASA; TENECTEPLASE
PROTEINA C; PROTEIN C
ESTREPTOQUINASA EN ASOCIACION; STREPTOKINASE IN ASSOCIATION
DESIRUDINA; DESIRUDINA
LEPIRUDINA; Lepirudin
ARGATROBAN; ARGATROBAN
MELAGATRAN; MELAGATRAN
XIMELAGATRAN; XIMELAGATRAN
BIVALIRUDINA; BIVALIRUDIN
DABIGATRAN ETEXILATO;Dabigatran etexilate
RIVAROXABÃ¯Â¿Â½N; RIVAROXABON
APIXABAN; APIXABAN
EDOXABAN; EDOXABAN
INHIBIDORES DIRECTOS DEL FACTO XA NE; DIRECT INHIBITORS OF FACTO XA NE
DEFIBROTIDA; DEFIBROTIDE
DERMATAN SULFATO; DERMATAN SULFATE
FONDAPARINUX; FONDAPARINUX
RIVAROXABAN; RIVAROXABAN
CAPLACIZUMAB; CAPLACIZUMAB
PROTEINA C HUMANA; HUMAN PROTEIN C
OTROS ANTITROMBOTICOS NE; OTHER ANTITHROMBOTICS NE
AMINOCAPROICO ACIDO; AMINOCAPROIC ACID
TRANEXAMICO ACIDO; TRANEXAMIC ACID
APROTININA; APROTININ
ALFA-1-ANTITRIPSINA; ALPHA-1-ANTITRYPSIN
C1 INHIBIDOR; C1 INHIBITOR
FITOMENADIONA; PHYTOMENADIONE
MENADIONA; MENADIONE
MENADIONA EN ASOCIACION; MENADIONA IN ASSOCIATION
FIBRINOGENO HUMANO; HUMAN FIBRINOGEN
ESPONJA DE GELATINA ABSORBIBLE; ABSORBABLE GELATIN SPONGE
FIBRINOGENO HUMANO; HUMAN FIBRINOGEN
HEMOSTATICOS LOCALES EN ASOCIACION; LOCAL HEMOSTATICS IN ASSOCIATION
SUBSULFATO FERRICO; Ferric Subsulfate
HEMOSTATICOS LOCALES NE; LOCAL HEMOSTATICS NE
FACTORES DE COAGULACION IX, II, VII Y X EN ASOCIACION; COAGULATION FACTORS IX, II, VII AND
FACTOR VIII DE COAGULACION; COAGULATION FACTOR VIII
FEIBA(COMPLEJO COAGULANTE ANTIINHIBIDOR); FEIBA (ANTI-INHIBITOR COAGULANT COMPLEX)
FACTOR IX DE COAGULACION; COAGULATION FACTOR IX
FACTOR VII; FACTOR VII
FACTOR VON WILLEBRAND + FACTOR VIII; VON WILLEBRAND FACTOR + FACTOR VIII
FACTOR XIII; FACTOR XIII
EPTACOG ALFA (ACTIVADO); EPTACOG ALPHA (ACTIVATED)
NONACOG ALFA (FACTOR IX RECOMBINANTE); NONACOG ALFA (RECOMBINANT FACTOR IX)
FACTOR VON WILLEBRAND; VON WILLEBRAND FACTOR
CATRIDECACOG; CATRIDECACOG
SUSOCTOCOG ALFA; SUSOCTOCOG ALPHA
FACTOR IX + FACTOR X + PROTROMBINA; FACTOR IX + FACTOR X + PROTHROMBIN
FACTOR IX + FACTOR X; FACTOR IX + FACTOR X
FACTORES VII + IX + X + PROTOMBINA;FACTORS VII + IX + X + PROTHOMBIN
FACTORES COAGULACION ASOCIADOS USO TOPICO; COAGULATION FACTORS ASSOCIATED WITH TOPICAL USE
ETAMSILATO; ETAMSYLATE
CARBAZOCROMO; CARBAZOCHROME
BATROXOBINA; Batroxobin
ROMIPLOSTIM; ROMIPLOSTIM
ELTROMBOPAG; ELTROMBOPAG
EMICIZUMAB; EMICIZUMAB
CARBAZOCROMO EN ASOCIACION; CARBAZOCROME IN ASSOCIATION
HIERRO GLICINA SULFATO; IRON GLYCINE SULFATE
HIERRO FUMARATO; IRON FUMARATE
HIERRO GLUCONATO; IRON GLUCONATE
HIERRO SULFATO; IRON SULFATE
HIERRO ASCORBATO; IRON ASCORBATE
HIERRO LACTATO; IRON LACTATE
HIERRO POLISACARIDO; POLYSACCHARIDE IRON
HIERRO OXIDO-SACAROSA; IRON OXIDE-SUCROSE
OXIDO FERRICO POLIMALTOSA, COMPLEJOS DE; FERRIC OXIDE POLYMALTOSE, COMPLEXES OF
HIERRO PROTEINSUCCINILATO; IRON PROTEINSUCCINYLATE
MALTOL FERRICO; Ferric Maltol
FERRITINA; FERRITIN
HIERRO MANITOL (FERRIMANITOL); IRON MANNITOL (FERRIMANNITOL)
FERROCOLINATO; ferrocolinate
OXIDO FERRICO POLIMALTOSA COMPLEJO (DEXTRIFERRON); FERRIC OXIDE POLYMALTOSE COMPLEX (DEXTRIFERRON)
OXIDO FERRICO SACAROSA; FERRIC OXIDE SUCROSE
HIERRO SORBITOL-CITRICO ACIDO COMPLEJO; IRON SORBITOL-CITRIC ACID COMPLEX
OXIDO FERRICO DEXTRANO COMPLEJO; FERRIC OXIDE DEXTRAN COMPLEX
HIERRO TRIVALENTE PARENTERAL (ANTIANEMICOS) NE; PARENTERAL TRIVALENT IRON (ANTI-ANEMICS) NE
HIERRO FUMARATO+FOLICO ACIDO; IRON FUMARATE+FOLIC ACID
HIERRO SULFATO+FOLICO ACIDO; IRON SULFATE+FOLIC ACID
HIERRO GLUCEPTATO+FOLICO ACIDO; IRON GLUCEPTATE+FOLIC ACID
HIERRO, MULTIVITAMINAS Y ACIDO FOLICO; IRON, MULTIVITAMINS AND FOLIC ACID
HIERRO Y MULTIVITAMINAS; IRON AND MULTIVITAMINS
HIERRO ASOCIACIONES VARIAS; IRON VARIOUS ASSOCIATIONS
CIANOCOBALAMINA; CYANOCOBALAMIN
HIDROXOCOBALAMINA; HYDROXOCOBALAMIN
COBAMAMIDA; COBAMAMIDE
MECOBALAMINA; Mecobalamin
CIANOCOBALAMINA ASOCIADA A ACIDO FOLICO;CYANOCOBALAMIN ASSOCIATED WITH FOLIC ACID
VITAMINA B12 Y DERIVADOS NE; VITAMIN B12 AND DERIVATIVES NE
FOLICO ACIDO; FOLIC ACID
ACIDO FOLICO NE; FOLIC ACID NE
ERITROPOYETINA; ERYTHROPOIETIN
DARBEPOETINA ALFA; DARBEPOETIN ALPHA
BETA-METOXIPOLIETILENGLICOL EPOETINA; BETA-METHOXYPOLYETHYLENE GLYCOL EPOETINE
EPOETINA DELTA; EPOETIN DELTA
OTROS ANTIANEMICOS NE; OTHER ANTIANEMICS NE
ALBUMINA; ALBUMIN
DEXTRANO; DEXTRAN
PREPARADOS CON GELATINA; PREPARED WITH GELATIN
HIDROXIETILALMIDON; HYDROXYETHYLALMIDON
HEMOGLOBINA GLUTAMERO (BOVINO); GLUTAMEROUS HEMOGLOBIN (BOVINE)
DEXTRANO + SODIO CLORURO; DEXTRAN + SODIUM CHLORIDE
DEXTRANO + GLUCOSA; DEXTRAN + GLUCOSE
SUSTITUTOS DE SANGRE Y FRACCIONES PROTEINAS PLASMA NE; BLOOD SUBSTITUTES AND PLASMA PROTEIN FRACTIONS NE
ERITROCITOS; ERYTHROCYTES
TROMBOCITOS; THROMBOCYTES
PLASMA SANGUINEO; BLOOD PLASMA
CELULAS MADRES DEL CORDON UMBILICAL; UMBILICAL CORD STEM CELLS
AMINOACIDOS SOLUCION PARENTERAL; AMINO ACIDS PARENTERAL SOLUTION
EMULSIONES GRASAS PARENTERALES; PARENTERAL FAT EMULSIONS
CARBOHIDRATOS SOLUCION PARENTERAL; CARBOHYDRATES PARENTERAL SOLUTION
NUTRIENTES SOLUCION PARENTERAL EN ASOCIACION; NUTRIENTS PARENTERAL SOLUTION IN ASSOCIATION
SUERO GLUCOSADO 5% ISOTONICO SOLUCION PARENTERAL; Glucose serum 5% isotonic parenteral solution
LEVULOSA SOLUCION PARENTERAL; Levulose Parenteral Solution
ELECTROLITOS SOLUCION PARENTERAL; ELECTROLYTES PARENTERAL SOLUTION
ELECTROLITOS CON CARBOHIDRATOS SOLUCION PARENTERAL; ELECTROLYTES WITH CARBOHYDRATES PARENTERAL SOLUTION
SUERO FISIOLOGICO SOLUCION PARENTERAL; Physiological serum parenteral solution
SUERO GLUCOSALINO SOLUCION PARENTERAL;Glucose Saline Parenteral Solution
SOLUCIONES RESTAURADORAS EQUILIBRIO ELECTROLITICO NE; RESTORATIVE SOLUTIONS ELECTROLYTIC BALANCE NE
MANITOL SOLUCION PARENTERAL; MANNITOL PARENTERAL SOLUTION
SOLUCIONES INTRAVENOSAS NE NE; INTRAVENOUS SOLUTIONS NE NE
ETACRIDINA, LACTATO DE; ETHACRIDINE, LACTATE
SODIO CLORURO SOLUCION IRRIGACION; SODIUM CHLORIDE IRRIGATION SOLUTION
BICARBONATO SODICO; SODIUM BICARBONATE
GLUCOSA; GLUCOSE
GLICINA SOLUCION IRRIGACION; GLYCINE IRRIGATION SOLUTION
SOLUCION IRRIGACION EN ASOCIACION; IRRIGATION SOLUTION IN ASSOCIATION
AGUA PARA IRRIGACION; WATER FOR IRRIGATION
GLUCOSA CON ELECTROLITOS DIALISIS PERITONEAL ISOTONICA; GLUCOSE WITH ELECTROLYTES ISOTONIC PERITONEAL DIALYSIS
ICODEXTRINA CON ELECTROLITOS DIALISIS ISOTONICA; ICODEXTRIN WITH ELECTROLYTES ISOTONIC DIALYSIS
SOLUCIONES DIALISIS PERITONEAL ISOTONICAS NE; ISOTONIC PERITONEAL DIALYSIS SOLUTIONS NE
GLUCOSA CON ELECTROLITOS DIALISIS PERITONEAL HIPERTONICA; GLUCOSE WITH ELECTROLYTES HYPERTONIC PERITONEAL DIALYSIS
SOLUCION AMINOACIDOS DIALISIS PERITONEAL HIPERTONICA; AMINO ACID SOLUTION FOR HYPERTONIC PERITONEAL DIALYSIS
SOLUCIONES DIALISIS PERITONEAL HIPERTONICAS NE; HYPERTONIC PERITONEAL DIALYSIS SOLUTIONS NE
POTASIO CLORURO SOLUCION ELECTROLITICA (SOLUC. IV ADITIVAS); POTASSIUM CHLORIDE ELECTROLYTE SOLUTION (IV ADDITIVE SOLUTIONS)
SODIO BICARBONATO SOLUCION ELECTROLITICA (SOLUC. IV ADITIVAS; SODIUM BICARBONATE ELECTROLYTE SOLUTION (SOLUTIONS IV ADDITIVES)
SODIO CLORURO SOLUCION ELECTROLITICA (SOLUC. IV ADITIVAS); SODIUM CHLORIDE ELECTROLYTE SOLUTION (IV ADDITIVE SOLUTIONS)
AMONIO CLORURO SOLUCION ELECTROLITICA (SOLUC. IV ADITIVAS); AMMONIUM CHLORIDE ELECTROLYTE SOLUTION (IV ADDITIVE SOLUTIONS)
SULFATO DE MAGNESIO; MAGNESIUM SULPHATE
POTASIO FOSFATO (SOLUC. IV ADITIVAS); POTASSIUM PHOSPHATE (SOLUTIONS IV ADDITIVES)
CALCIO CLORURO SOLUCION ELECTROLITICA (SOLUC. IV ADITIVAS);CALCIUM CHLORIDE ELECTROLYTE SOLUTION (IV ADDITIVE SOLUTIONS)
SODIO ACETATO SOLUCION ELECTROLITICA (SOLUC. IV ADITIVAS); SODIUM ACETATE ELECTROLYTE SOLUTION (IV ADDITIVE SOLUTIONS)
SODIO FOSFATO (SOLUC. IV ADITIVAS); SODIUM PHOSPHATE (IV ADDITIVE SOLUTIONS)
ZINC CLORURO; ZINC CHLORIDE
SODIO GLICEROFOSFATO SOLUCION PARENTERAL (SOLUC. IV ADITIVAS; SODIUM GLYCEROPHOSPHATE PARENTERAL SOLUTION (IV ADDITIVE SOLUTIONS)
SOLUCIONES CARDIOPLEGICAS; CARDIOPLEGIC SOLUTIONS
POTASIO ACETATO (SOLUC. IV ADITIVAS); POTASSIUM ACETATE (IV ADDITIVE SOLUTIONS)
ELECTROLITOS EN ASOCIACION (SOLUC. IV ADITIVAS); ELECTROLYTES IN ASSOCIATION (IV ADDITIVE SOLUTIONS)
ELECTROLITOS ASOCIADOS A OTRAS SUSTANCIAS (SOLUC. IV ADITIV); ELECTROLYTES ASSOCIATED WITH OTHER SUBSTANCES (SOLUTION IV ADDITIVE)
POTASIO ACETATO (SOLUC. IV ADITIVAS); POTASSIUM ACETATE (IV ADDITIVE SOLUTIONS)
GLUTAMINA; GLUTAMINE
COMPLEJO VITAMINICO B NUTRICION ENTERAL (SOLUC. IV ADITIVAS); VITAMIN B COMPLEX ENTERAL NUTRITION (IV ADDITIVE SOLUTIONS)
MULTIVITAMINAS NUTRICION ENTERAL (SOLUC. IV ADITIVAS); MULTIVITAMINS ENTERAL NUTRITION (ADDITIVE IV SOLUTIONS)
VITAMINAS (SOLUCIONES IV ADITIVAS) NE; VITAMINS (IV ADDITIVE SOLUTIONS) NE
CONCENTRADOS PARA HEMODIALISIS; HEMODIALYSIS CONCENTRATES
CONCENTRADOS PARA HEMODIALISIS NE; HEMODIALYSIS CONCENTRATES NE
HEMOFILTRADOS; HEMOFILTRATES
HEMOFILTRADOS NE; NE HEMOFILTRATES
HIALURONIDASA; HYALURONIDASE
HEMATINA; Hematin
INHIBIDOR DE C1, DERIVADO DEL PLASMA; C1 inhibitor, derived from plasma
ICATIBANTO; ICATIBANTO
CONESTAT ALFA; CONESTAT ALFA
ACETILDIGITOXINA; ACETYLDIGITOXINE
ACETILDIGOXINA; ACETYLDIGOXINE
DIGITOXINA; Digitoxin
DIGOXINA; DIGOXIN
LANATOSIDO C; LANATOSIDE C
DESLANOSIDO; DESLANOSIDE
METILDIGOXINA; METHYLDIGOXINE
QUINIDINA; QUINIDINE
PROCAINAMIDA; PROCAINAMIDE
DISOPIRAMIDA; DISOPYRAMIDE
AJAMALINA;AJAMALINA
PRAJMALINA; PRAJMALINA
LORAJMINA; LORAJMINA
HIDROQUINIDINA; HYDROQUINIDINE
QUINIDINA ASOCIADA A PSICOLEPTICO; QUINIDINE ASSOCIATED WITH PSYCHOLEPTIC
HIDROQUINIDINA; HYDROQUINIDINE
ANTIARRITMICOS CLASE IA NE; CLASS IA NE ANTIARRYTHMICS
LIDOCAINA; Lidocaine
MEXILETINA; MEXILETINE
TOCAINIDA; TOCAINIDE
APRINDINA; APRINDINA
FENITOINA; PHENYTOIN
PROPAFENONA; PROPAFENONE
FLECAINIDA; FLECAINIDE
AMIODARONA; Amiodarone
BRETILIO TOSILATO; BRETYLIUM TOSYLATE
DOFETILIDA; DOFETILIDE
IBUTILIDA; IBUTILIDE
TEDISAMIL; TEDISAMIL
DRONEDARONA; DRONEDARONE
MORACIZINA; MORACIZINA
CIBENZOLINA; CIBENZOLINE
VERNAKALANT; VERNAKALANT
ETILEFRINA; ETILEFRINE
ISOPRENALINA; ISOPRENALINE
NOREPINEFRINA; NOREPINEPHRINE
DOPAMINA; DOPAMINE
FENILEFRINA; Phenylephrine
DOBUTAMINA; DOBUTAMINE
METOXAMINA; METHOXAMINE
DIMETROFINA; DIMETROFINE
IBOPAMINA; IBOPAMINE
MIDODRINA; MIDODRINE
CAFEDRINA; CAPHEDRINE
ADRENALINA; ADRENALIN
AMEZINIO METILSULFATO; AMEZINIUM METHYLSULFATE
EFEDRINA; EPHEDRINE
ADRENERGICOS EN ASOCIACION; ADRENERGIC IN ASSOCIATION
AMRINONA; AMRINONA
MILRINONA; MILRINONE
ENOXIMONA; ENOXIMONE
LEVOSIMENDAN; LEVOSIMENDAN
NITROGLICERINA; NITROGLYCERINE
PENTAERITRITILO TETRANITRATO; PENTAERYTHRITYL TETRANITRATE
PROPATILNITRATO; PROPATHYL NITRATE
ISOSORBIDA DINITRATO; ISOSORBIDE DINITRATE
ISOSORBIDA MONONITRATO; ISOSORBIDE MONONITRATE
NITROGLICERINA EN ASOCIACION; NITROGLYCERIN IN ASSOCIATION
NITRATOS ORGANICOS (CARDIOTERAPIA) NE; ORGANIC NITRATES (CARDIOTHERAPY) NE
OXIFEDRINA; Oxyfedrine
CARBOCROMENO; CARBOCHROMENE
HEXOBENDINA;HEXOBENDINE
IMOLAMINA; IMOLAMINE
DILAZEP; DILAZEP
MOLSIDOMINA; MOLSIDOMINE
CLORIDAROL; Chloridarol
NICORANDIL; NICORANDIL
NESIRITIDA; NESIRITIDE
ALPROSTADILO; ALPROSTADIL
INDOMETACINA; Indomethacin
CRATAEGUS GLICOSIDOS; CRATAEGUS GLYCOSIDES
UBIDECARENONE; UBIDECARENONE
ADENOSINA; ADENOSINE
TRIMETAZIDINA; TRIMETAZIDINE
IBUPROFENO; IBUPROFEN
IVABRADINA; IVABRADINE
RANOLAZINA; RANOLAZINE
ICATIBANT; ICATIBANT
REGADENOSON; REGADENOSON
POTASIO IODURO; POTASSIUM IODIDE
OTROS PREPARADOS CARDIACOS NE; OTHER CARDIAC PREPARATIONS NE
RESCINAMINA; RESINAMINE
RESERPINA; RESERPINA
RAUWOLFIA SERPENTINA ALCALOIDES; RAUWOLFIA SERPENTINA ALKALOIDS
METILDOPA; METHYLDOPA
CLONIDINA; CLONIDINE
GUANFACINA; GUANFACINE
MOXONIDINA; MOXONIDINE
TRIMETAFAN; TRIMETAFAN
PRAZOSINA; Prazosin
INDORAMINA; INDORAMINE
DOXAZOSINA; DOXAZOSIN
URAPIDIL; URAPIDIL
BLOQUEANTES ALFA-ADRENERGICOS (ANTIHIPERTENSIVOS) NE; ALPHA-ADRENERGIC BLOCKERS (ANTIHYPERTENSIVES) NE
DIAZOXIDO; DIAZOXIDE
DIHIDRALAZINA; DIHYDRALAZINE
HIDRALAZINA; HYDRALAZINE
PICODRALAZINA EN ASOCIACION; Picodralazine in association
MINOXIDIL; MINOXIDIL
NITROPRUSIATO; Nitroprussate
BOSENTAN; BOSENTAN
AMBRISENTAN; AMBRISENTAN
SITAXENTAN; SITAXENTAN
MACITENTAN; MACITENTAN
RIOCIGUAT; RIOCIGUAT
OTROS ANTIHIPERTENSIVOS NE; OTHER ANTIHYPERTENSIVES NE
RESERPINA ASOCIADA A DIURETICO; RESERPINE ASSOCIATED WITH DIURETIC
RAUWOLFIA Y DIURETICOS ASOCIADOS A OTROS FARMACOS; RAUWOLFIA AND DIURETICS ASSOCIATED WITH OTHER DRUGS
RESERPINA Y DIURETICOS ASOCIADOS A OTROS FARMACOS;Reserpine and diuretics associated with other drugs
METILDOPA ASOC. A DIURETICOS; METHYLDOPA ASSOCIATED WITH DIURETICS
CLONIDINA+DIURETICOS+OTRAS SUSTANCIAS; CLONIDINE+DIURETICS+OTHER SUBSTANCES
BENDROFLUMETIAZIDA; BENDROFLUMETHIAZIDE
HIDROCLOROTIAZIDA; HYDROCHLOROTHIAZIDE
TECLOTIAZIDA EN ASOCIACION; TECLOTHIAZIDE IN ASSOCIATION
CLORTALIDONA; Chlorthalidone
METOLAZONA; METOLAZONE
XIPAMIDA; XIPAMIDE
INDAPAMIDA; INDAPAMIDE
OTROS DIURETICOS DE TECHO BAJO NE; OTHER LOW CEILING DIURETICS NE
FUROSEMIDA; Furosemide
BUMETANIDA; BUMETANIDE
PIRETANIDA; PIRETANIDE
TORASEMIDA; TORASEMIDE
ETOZOLINA; ETOZOLIN
ESPIRONOLACTONA; SPIRONOLACTONE
CANRENOATO POTASICO; Potassium canrenoate
CANRENONA; CANRENONE
EPLERENONA; EPLERENONE
AMILORIDA; AMILORIDE
TRIAMTERENO; TRIAMTHERENE
OTROS DIURETICOS AHORRADORES DE POTASIO NE; OTHER POTASSIUM-Sparing Diuretics NE
HIDROCLOROTIAZIDA+AHORRADOR DE POTASIO; HYDROCHLOROTHIAZIDE+POTASSIUM SAVER
ALTIZIDA+AHORRADOR DE POTASIO; ALTIZIDE+POTASSIUM SAVER
MEBUTIZIDA+AHORRADOR DE POTASIO; MEBUTIZIDE+POTASSIUM SAVER
CLORTALIDONA+AHORRADOR DE POTASIO; Chlorthalidone + Potassium Saver
BENDROFLUMETIAZIDA+AHORRADOR DE POTASIO; BENDROFLUMETHIAZIDE+POTASSIUM SPARE
FUROSEMIDA+AHORRADOR DE POTASIO; Furosemide + Potassium Saver
TOLVAPTAN; TOLVAPTAN
ANTAGONISTAS DE LA VASOPRESINA (DIURETICOS) NE; VASOPRESSIN ANTAGONISTS (DIURETICS) NE
OTROS DIURETICOS NE NE; OTHER DIURETICS NE NE
UREA; UREA
ISOXSUPRINA; ISOXSUPRINE
BUFENINA; BUFFENINE
BAMETAN; BAMETAN
BUFENINA EN ASOCIACION; BUFENINA IN ASSOCIATION
FENTOLAMINA; Phentolamine
PENTOXIFILINA;PENTOXYFILLINE
ETOFILINA NICOTINATO; ETHYLLINE NICOTINATE
ETOFILINA EN ASOCIACION; ETOPHYLLINE IN ASSOCIATION
DIHIDROERGOTOXINA; DIHYDROERGOTOXIN
NICERGOLINA; NICERGOLINA
DIHIDROERGOCRISTINA; DIHYDROERGOCRISTINE
DIHIDROERGOTOXINA EN ASOCIACION; DIHYDROERGOTOXIN IN ASSOCIATION
DIHIDROERGOCRISTINA EN ASOCIACION; DIHYDROERGOCRISTINE IN ASSOCIATION
FENOXIBENZAMINA; Phenoxybenzamine
VINCAMINA; VINCAMINE
MOXISILITA; MOXISILITE
BENCICLANO; BENZYCLEAN
VINBURNINA; Vinburnine
BUFLOMEDIL; BUFLOMEDIL
NAFTIDROFURILO; NAFTHYDROFURYL
BUTALAMINA; BUTALAMINE
CETIEDIL; CETIEDIL
IFENPRODIL; IFENPRODIL
CILOSTAZOL; CILOSTAZOL
VINCAMINA EN ASOCIACION; VINCAMINA IN ASSOCIATION
OXOVINCA; OXOVINCA
ALMITRINA+RAUBASINA; ALMITRINE+RAUBASIN
OTROS VASODILATADORES PERIFERICOS NE; OTHER PERIPHERAL VASODILATORS NE
HIDROCORTISONA; HYDROCORTISONE
PREDNISOLONA; PREDNISOLONE
FLUOCORTOLONA; FLUOCORTOLONE
FLUOCINOLONA ACETONIDO; FLUOCINOLONE ACETONIDE
FLUOCINONIDA; FLUOCINONIDE
TRIAMCINOLONA; TRIAMCINOLONE
HIDROCORTISONA EN ASOCIACION; HYDROCORTISONE IN ASSOCIATION
PREDNISOLONA EN ASOCIACION; PREDNISOLONE IN ASSOCIATION
