drug	gene
levomilnacipran	HTR2A
levomilnacipran	SLC6A4
siponimod	CYP2C9
levomethadyl_acetate	KCNH2
fluorouracil_/_salicylic_acid	DPYD
dasabuvir	IFNL3
simvastatin	CETP
simvastatin	ABCC2
simvastatin	CYP2C8
simvastatin	RHOA
simvastatin	KIF6
simvastatin	F3
simvastatin	SCAP
simvastatin	ZNF542P
simvastatin	HMGCR
simvastatin	LEPR
simvastatin	LIPC
simvastatin	ABCA1
simvastatin	APOA5
simvastatin	ABCB1
simvastatin	CYBA
simvastatin	PPARA
simvastatin	GATM
simvastatin	HTR3B
simvastatin	HTR7
simvastatin	RYR2
simvastatin	PON1
simvastatin	HLA-DRB1
simvastatin	SLCO2B1
simvastatin	NR1I2
simvastatin	ABCG2
simvastatin	UGT1A9
simvastatin	APOE
simvastatin	CACNA1S
arsenic_trioxide	MT1A
arsenic_trioxide	PML
arsenic_trioxide	RARA
ivosidenib	IDH1
triheptanoin	ACADVL
triheptanoin	CPT2
triheptanoin	HADHA
triheptanoin	HADHB
tamoxifen-n-glucuronide	UGT1A4
daptomycin	ABCB1
benazepril	CYP11B2
benazepril	MTHFR
benazepril	MTR
benazepril	PRCP
benazepril	ADRB2
benazepril	AGT
vorasidenib	IDH1
vorasidenib	IDH2
egfr_inhibitors	NRAS
egfr_inhibitors	EGFR
lutetium_(177Lu)_oxodotreotide	SSTR1
lutetium_(177Lu)_oxodotreotide	SSTR2
lutetium_(177Lu)_oxodotreotide	SSTR3
lutetium_(177Lu)_oxodotreotide	SSTR4
lutetium_(177Lu)_oxodotreotide	SSTR5
nilotinib	CYP3A4
nilotinib	ABL1
nilotinib	BCR
nilotinib	ABCG2
nilotinib	UGT1A1
prednisone	CYP2C19
prednisone	C18orf56
prednisone	DROSHA
prednisone	LINC00251
prednisone	BMP7
prednisone	DOK5
prednisone	ABCB1
prednisone	CTLA4
prednisone	GATA3
prednisone	GSTA1
prednisone	TPMT
prednisone	CXCL12
prednisone	TYMS
lurasidone	HTR1A
protease_inhibitors	SLC28A2
estrone	SLCO1B1
givosiran	CPOX
givosiran	HMBS
givosiran	PPOX
cidofovir	SLC22A6
mirvetuximab_soravtansine	FOLR1
tovorafenib	BRAF
clopidogrel_thiol_metabolite_H4	CYP2C19
follitropin_beta	FSHR
acetaminophen_/_codeine	CYP2D6
acetaminophen_/_codeine	G6PD
quetiapine	COMT
quetiapine	RABEP1
quetiapine	EIF2AK4
quetiapine	SH2B1
quetiapine	MIR582
quetiapine	HTR1A
quetiapine	DRD3
quetiapine	EPM2A
quetiapine	FAAH
quetiapine	GRIN2B
quetiapine	MC4R
quetiapine	PDE4D
quetiapine	RELN
quetiapine	RGS4
paliperidone	RABEP1
paliperidone	SH2B1
paliperidone	ERBB4
paliperidone	MC4R
pamaquine	G6PD
sildenafil	CYP3A4
sildenafil	ACE
sildenafil	GNB3
sildenafil	ARG1
sildenafil	NOS3
sildenafil	VEGFA
phenytoin	CFHR4
phenytoin	NAT2
phenytoin	MTHFR
phenytoin	CYP1A1
phenytoin	EPHX1
phenytoin	GABRA1
phenytoin	SCN1A
phenytoin	SCN2A
phenytoin	UGT1A6
phenytoin	UGT2B15
phenytoin	NR1I2
phenytoin	UGT1A9
cemiplimab-rwlc	CD274
cemiplimab-rwlc	ALK
cemiplimab-rwlc	ROS1
cemiplimab-rwlc	EGFR
clodronate	IL1B
clodronate	VDR
durvalumab	CD274
durvalumab	ALK
durvalumab	PDCD1
durvalumab	EGFR
neomycin	MT-RNR1
cytarabine	CYP2E1
cytarabine	SLCO1B1
cytarabine	MED12L
cytarabine	C18orf56
cytarabine	P2RY12
cytarabine	DCK
cytarabine	DROSHA
cytarabine	SLC29A1
cytarabine	CMPK1
cytarabine	LINC00251
cytarabine	ARHGAP9
cytarabine	BMP7
cytarabine	DOK5
cytarabine	ABCB1
cytarabine	CPT1A
cytarabine	GATA3
cytarabine	GLI1
cytarabine	IGHMBP2
cytarabine	RRM1
cytarabine	RRM2
cytarabine	NME4
cytarabine	NT5C2
cytarabine	NT5C3A
cytarabine	RRM2B
cytarabine	TYMS
cytarabine	SULT2B1
cytarabine	SLC22A12
cytarabine	ABCC4
cytarabine	SLC28A3
cytarabine	CDA
amphetamine	CYP2D6
amphetamine	KAT2B
amphetamine	DRD2
amphetamine	OPRM1
velpatasvir	IFNL3
velpatasvir	IFNL4
aducanumab	APOE
alpelisib	ESR1
alpelisib	ERBB2
alpelisib	ESR2
alpelisib	PIK3CA
donepezil	CHRNA7
donepezil	CYP2D6
donepezil	CYP3A5
donepezil	BCHE
donepezil	CHAT
indomethacin	CYP2C19
indomethacin	PTGS2
indomethacin	LTA
indomethacin	LST1
indomethacin	TNF
ropinirole	DRD2
danazol	CYP2J2
Drugs_used_in_nicotine_dependence	CHRNA3
Drugs_used_in_nicotine_dependence	COMT
Drugs_used_in_nicotine_dependence	CYP2A6
Drugs_used_in_nicotine_dependence	CHRNA5
Drugs_used_in_nicotine_dependence	OPRM1
FOLFOX	DPYD
FOLFOX	TYMS
quinapril	AGT
xanomeline_/_trospium	CYP2D6
flucloxacillin	HLA-A
flucloxacillin	HLA-B
flucloxacillin	HLA-C
flucloxacillin	HLA-DQA1
flucloxacillin	HLA-DQB1
flucloxacillin	HLA-DRB1
flucloxacillin	ST6GAL1
flucloxacillin	NR1I2
pantoprazole	CYP3A5
pantoprazole	ABCB1
pantoprazole	SLC22A6
pantoprazole	SLC22A8
tenoxicam	CYP2C9
clotrimazole	NR1I2
nivolumab_/_relatlimab	CD274
nivolumab_/_relatlimab	BRAF
nivolumab_/_relatlimab	LAG3
ethylmorphine	CYP2D6
neratinib	ESR1
neratinib	PGR
neratinib	ERBB2
neratinib	ESR2
neratinib	EGFR
sulfasalazine	CYP2D6
sulfasalazine	C18orf56
sulfasalazine	MTHFR
sulfasalazine	G6PD
sulfasalazine	MTR
sulfasalazine	HLA-B
sulfasalazine	TYMS
sulfasalazine	ABCG2
tolazamide	G6PD
anastrozole	ESR1
anastrozole	DLG2
anastrozole	PGR
anastrozole	ABCB1
anastrozole	CSMD1
anastrozole	CYP19A1
anastrozole	ESR2
anastrozole	MAP4K4
anastrozole	TNFRSF11B
anastrozole	TNFSF11
anastrozole	UGT1A4
anastrozole	TUBB1
antidepressants	CRH
antidepressants	CYP2C19
antidepressants	CYP2D6
antidepressants	TPH2
antidepressants	MTRF1L
antidepressants	RPP30
antidepressants	RAPGEF5
antidepressants	ERICH3
antidepressants	METTL21A
antidepressants	ACSS3
antidepressants	GNB3
antidepressants	HTR1A
antidepressants	HTR2A
antidepressants	PARP11
antidepressants	CACNA1A
antidepressants	SERPINE1
antidepressants	ABCB1
antidepressants	CREB1
antidepressants	CRHR1
antidepressants	CTNNA3
antidepressants	FHIT
antidepressants	FKBP5
antidepressants	GABRA6
antidepressants	GABRP
antidepressants	GAL
antidepressants	GRIA3
antidepressants	GRIK4
antidepressants	HTR7
antidepressants	NBEA
antidepressants	NTRK2
antidepressants	BDNF
antidepressants	OPRM1
antidepressants	PON2
antidepressants	RGS17
antidepressants	TPH1
antidepressants	TGFBR3
antidepressants	ADRB1
non-selective_Beta_blocking_agents	ADRB1
non-selective_Beta_blocking_agents	ADRB2
sulfacetamide	G6PD
benzbromarone	CYP2C9
desmopressin	F8
fluvastatin	CETP
fluvastatin	CYP3A4
fluvastatin	CYP3A5
fluvastatin	ACE
fluvastatin	HMGCR
fluvastatin	LIPC
fluvastatin	ABCB1
fluvastatin	SREBF1
fluvastatin	HLA-DRB1
fluvastatin	NR1I2
fluvastatin	ABCG2
fluvastatin	APOE
dextropropoxyphene	CYP3A5
aspirin	CYP2C9
aspirin	CYP2D6
aspirin	COL26A1
aspirin	WDR24
aspirin	KRTAP10-4
aspirin	CEP68
aspirin	ACE
aspirin	FSIP1
aspirin	CHIA
aspirin	F13A1
aspirin	EFR3A
aspirin	JMJD8
aspirin	NECAB1
aspirin	PEAR1
aspirin	GP1BA
aspirin	NAT2
aspirin	HNMT
aspirin	IL4
aspirin	ITGA2
aspirin	ITGB3
aspirin	LTC4S
aspirin	PTGS1
aspirin	ADORA1
aspirin	NOS3
aspirin	TSPEAR
aspirin	SLC30A9
aspirin	AGAP3
aspirin	PLA2G4A
aspirin	CYP4F2
aspirin	ECHS1
aspirin	EYA1
aspirin	FCER1G
aspirin	PPARG
aspirin	PTGER2
aspirin	PTGER3
aspirin	GP6
aspirin	PTGIR
aspirin	PTGS2
aspirin	IL1B
aspirin	MYOM2
aspirin	NTRK1
aspirin	P2RY1
aspirin	PLCG1
aspirin	TBXA2R
aspirin	TBXAS1
aspirin	TGFB1
aspirin	HLA-DPB1
aspirin	HLA-DPB2
aspirin	HLA-DQB1
aspirin	HLA-DRB1
aspirin	SLC6A12
aspirin	TAPBP
aspirin	THRA
aspirin	TLR3
aspirin	TNFRSF11A
aspirin	TSC1
aspirin	UGT1A6
aspirin	ZBTB22
aspirin	ZDHHC3
aspirin	AGT
aspirin	TNF
acebutolol	GRK5
acebutolol	GRK4
acebutolol	ADRA2C
acebutolol	ADRB1
tofersen	SOD1
valdecoxib	PTGS2
seladelpar	CYP2C9
etravirine	CYP2C19
acamprosate	GRIN2B
selective_Beta_blocking_agents	BST1
selective_Beta_blocking_agents	ADRB1
non-steroids_antiinflammatory_and_antirheumatic_products	PTGS1
non-steroids_antiinflammatory_and_antirheumatic_products	PTGS2
grapefruit_juice	ABCB1
carglumic_acid	NAGS
abciximab	FGB
abciximab	ITGB3
abciximab	ITGA2B
abciximab	FGA
abciximab	FGG
fluphenazine	CYP2D6
fluphenazine	ABCB1
atenolol	PLEKHH2
atenolol	LRRC15
atenolol	STN1
atenolol	ZMAT4
atenolol	SLC25A31
atenolol	DPYS
atenolol	FTO
atenolol	RRP1B
atenolol	XIRP2
atenolol	GNB3
atenolol	GRK5
atenolol	LDLR
atenolol	ALDH1A2
atenolol	ABCB1
atenolol	PLA2G4A
atenolol	EDN1
atenolol	GALNT2
atenolol	GRK4
atenolol	PTGS2
atenolol	NR1H3
atenolol	PRKCB
atenolol	PROX1
atenolol	ADRA2A
atenolol	SLC4A1
atenolol	TBX2
atenolol	ADRA2C
atenolol	ADRB1
atenolol	ADRB2
atenolol	AGT
atenolol	CACNA1C
larotrectinib	NTRK1
larotrectinib	NTRK2
larotrectinib	NTRK3
galcanezumab	COMT
isoflurane	CYP2E1
isoflurane	MC1R
isoflurane	RYR1
isoflurane	CACNA1S
mephenytoin	CYP2B6
mephenytoin	CYP3A4
pranlukast	CYSLTR1
hydralazine_/_isosorbide_dinitrate	GNB3
hydralazine_/_isosorbide_dinitrate	NAT2
triazolam	CYP3A4
triazolam	CYP3A5
viltolarsen	DMD
tegafur_/_gimeracil_/_oteracil	DPYD
amlodipine_/_atorvastatin_/_perindopril_arginine	SLCO1B1
amlodipine_/_atorvastatin_/_perindopril_arginine	G6PD
flunisolide	TBXT
flunisolide	GLCCI1
ensartinib	ALK
mirabegron	CYP2D6
brivaracetam	CYP2C19
brivaracetam	CYP2C9
procainamide	NAT2
procainamide	SCN5A
volatile_anesthetics	OPRM1
volatile_anesthetics	RYR1
volatile_anesthetics	ABCG2
idarubicin	CYP2E1
idarubicin	SLCO1B1
idarubicin	DCK
idarubicin	ABCB1
idarubicin	CYBA
idarubicin	NCF4
idarubicin	NT5C3A
idarubicin	RAC2
idarubicin	SULT2B1
idarubicin	SLC22A12
tropisetron	CYP2D6
tropisetron	CYP3A4
tropisetron	SLC22A1
vinorelbine	CASP7
eculizumab	CHRNA3
eculizumab	CHRNA7
eculizumab	AQP4
eculizumab	C5
eculizumab	CHRNA1
eculizumab	CHRNA4
eculizumab	CHRNA5
eculizumab	CHRNA6
eculizumab	CHRNB1
eculizumab	CHRNE
eculizumab	CR1
eculizumab	CFH
ziprasidone	EIF2AK4
ziprasidone	RGS4
calcitriol	VDR
cotinine_glucuronide	UGT1A9
liraglutide	GLP1R
zanidatamab	ERBB2
metreleptin	LEP
metreleptin	AGPAT2
metreleptin	BSCL2
metreleptin	LMNB2
isoniazid	CYP2B6
isoniazid	CYP2C19
isoniazid	CYP2C9
isoniazid	NOS2
isoniazid	BACH1
isoniazid	ABCB1
isoniazid	GSTP1
isoniazid	MAFK
isoniazid	HLA-B
isoniazid	XPO1
isoniazid	NR1I2
isoniazid	TNF
primaquine	CYB5R4
primaquine	CYB5R1
primaquine	CYB5R2
primaquine	CYP1A2
primaquine	CYB5R3
primaquine	IKBKG
11a-hydroxyprogesterone	CYP2C19
hydrochlorothiazide	TXNDC11
hydrochlorothiazide	FBXL17
hydrochlorothiazide	LRRC15
hydrochlorothiazide	YEATS4
hydrochlorothiazide	DOT1L
hydrochlorothiazide	ACE
hydrochlorothiazide	SLC25A31
hydrochlorothiazide	ANKFN1
hydrochlorothiazide	ADO
hydrochlorothiazide	TET2
hydrochlorothiazide	C5orf56
hydrochlorothiazide	KCNJ1
hydrochlorothiazide	ALDH1A2
hydrochlorothiazide	CSK
hydrochlorothiazide	CSMD1
hydrochlorothiazide	DIAPH3
hydrochlorothiazide	GPR83
hydrochlorothiazide	HMGCS2
hydrochlorothiazide	ILKAP
hydrochlorothiazide	ADD1
hydrochlorothiazide	NEDD4L
hydrochlorothiazide	NUCB2
hydrochlorothiazide	PDE3A
hydrochlorothiazide	PLCE1
hydrochlorothiazide	PRKAG2
hydrochlorothiazide	PRKCA
hydrochlorothiazide	WNK1
hydrochlorothiazide	SLIT1
hydrochlorothiazide	TCF7L2
hydrochlorothiazide	VASP
hydrochlorothiazide	ADRB1
hydrochlorothiazide	UGGT2
hydrochlorothiazide	NELFCD
caspofungin	SLCO1B1
regadenoson	AMPD1
hydroxyzine	CYP3A5
hydroxyzine	KCNH2
hydrocodone	COMT
hydrocodone	CYP3A5
hydrocodone	WBP2NL
hydrocodone	SEPTIN3
hydrocodone	OPRM1
clindamycin	CYP3A5
clindamycin	HLA-B
clindamycin	NR1I2
levodopa	COMT
levodopa	HOMER1
levodopa	DBH
levodopa	MTHFR
levodopa	DRD2
levodopa	DRD3
levodopa	SLC6A3
levodopa	SLC22A1
Rubella_vaccines	HLA-B
Rubella_vaccines	HLA-C
fremanezumab	COMT
gemcitabine	CYP2C8
gemcitabine	ALG10
gemcitabine	C6orf15
gemcitabine	PPP1R18
gemcitabine	DOCK8
gemcitabine	MUCL3
gemcitabine	ATAT1
gemcitabine	SLC29A3
gemcitabine	HCP5
gemcitabine	DCK
gemcitabine	DCTD
gemcitabine	SH2D5
gemcitabine	PPCDC
gemcitabine	KLC3
gemcitabine	POLR1G
gemcitabine	SLC29A1
gemcitabine	ERCC1
gemcitabine	CMPK1
gemcitabine	FHL2
gemcitabine	SLC29A2
gemcitabine	ACSS2
gemcitabine	PRRC2A
gemcitabine	CASP7
gemcitabine	CDC5L
gemcitabine	CDSN
gemcitabine	DAPK1
gemcitabine	ERCC2
gemcitabine	ESR2
gemcitabine	ETS2
gemcitabine	FKBP5
gemcitabine	GPX5
gemcitabine	MSH5
gemcitabine	NRAS
gemcitabine	NT5C
gemcitabine	NT5C1A
gemcitabine	NT5C2
gemcitabine	NT5C3A
gemcitabine	POLR2A
gemcitabine	TENT4A
gemcitabine	PSORS1C1
gemcitabine	RAF1
gemcitabine	PPP1R13L
gemcitabine	SERPINC1
gemcitabine	HLA-C
gemcitabine	SERPINA5
gemcitabine	XYLT2
gemcitabine	SLC28A2
gemcitabine	ABCG2
gemcitabine	SLC28A3
gemcitabine	TNF
crizanlizumab-tmca	HBB
crizanlizumab-tmca	SELP
nabumetone	CYP2C9
nabumetone	CYP2J2
desmethyl_clomipramine	CYP2C19
desmethyl_clomipramine	CYP2D6
propylthiouracil	HLA-DRB1
antiepileptics	ABCC2
antiepileptics	CYP2C9
antiepileptics	ABCB1
antiepileptics	CPS1
antiepileptics	SCN2A
olmesartan	SLCO1B1
eletriptan	CYP2D6
ethinyl_estradiol	CYP2B6
ethinyl_estradiol	CYP3A5
alendronate	MVK
alendronate	VDR
cyclobenzaprine	CYP3A5
tenofovir	ABCC2
tenofovir	IFNL3
tenofovir	AK4
tenofovir	IFNL4
tenofovir	ABCC10
tenofovir	AK2
tenofovir	NME1
tenofovir	NME2
tenofovir	OCRL
tenofovir	SLC26A8
tenofovir	SLC22A6
tenofovir	ABCG2
peginterferon_alfa-2a	IFNL3
peginterferon_alfa-2a	SLC29A1
peginterferon_alfa-2a	LDLR
peginterferon_alfa-2a	ITPA
peginterferon_alfa-2a	MICB
peginterferon_alfa-2a	HLA-A
peginterferon_alfa-2a	HLA-B
peginterferon_alfa-2a	CXCL10
peginterferon_alfa-2a	VDR
peginterferon_alfa-2a	EGFR
peginterferon_alfa-2a	SCARB1
desipramine	CYP2D6
desipramine	CYP3A4
desipramine	ABCB1
desipramine	CYP1A2
desipramine	MC1R
desipramine	SLC6A2
desipramine	BDNF
temazepam	CYP2C19
temazepam	CYP3A4
7-hydroxy_r-warfarin	CYP2C9
golodirsen	DMD
terodiline	KCNH2
3,4-dehydrocilostazol	CYP3A5
ondansetron	CYP3A4
ondansetron	CYP3A5
ondansetron	ABCB1
ondansetron	SLC6A4
pralsetinib	RET
acenocoumarol	CYP2C18
acenocoumarol	VKORC1
acenocoumarol	CALU
acenocoumarol	CYP4F2
acenocoumarol	GGCX
acenocoumarol	APOE
repotrectinib	NTRK1
repotrectinib	NTRK2
repotrectinib	NTRK3
repotrectinib	ROS1
oxymetazoline_and_tetracaine	BCHE
oxymetazoline_and_tetracaine	CYB5R3
oxymetazoline_and_tetracaine	G6PD
brivanib	FGFR1OP
brivanib	FGFR1OP2
brivanib	FGFR1
brivanib	FGFR2
brivanib	FGFR3
brivanib	FGFR4
brivanib	FGFR3P1
brivanib	FGFRL1
brivanib	KDR
rimegepant	CYP2C9
gilteritinib	FLT3
Photodynamic_therapy	F13A1
Photodynamic_therapy	CFH
amiloride	CYP4A11
amiloride	SCNN1A
amiloride	SCNN1B
amiloride	SCNN1G
liothyronine	HTR1B
proguanil	CYP2C19
proguanil	CYP3A4
proguanil	SLC22A1
trimethoprim	CYP3A4
venetoclax	FLT3
venetoclax	IDH1
venetoclax	IDH2
venetoclax	NPM1
venetoclax	TP53
ranitidine	ABCB1
ranitidine	SLC22A1
desmethyl_olanzapine	CYP1A2
cisapride	CYP3A4
Coxibs	PTGS2
7-hydroxy_s-warfarin	CYP2C9
vildagliptin	GLP1R
moxifloxacin	KCNH2
moxifloxacin	G6PD
moxifloxacin	UGT1A1
cangrelor	P2RY12
upadacitinib	CYP2D6
valinomycin	ABCB1
arteether	CYP2B6
arteether	CYP3A4
arteether	CYP3A5
letermovir	SLCO1B1
lorlatinib	ALK
lorlatinib	ROS1
maralixibat	ATP8B1
maralixibat	ABCB4
maralixibat	JAG1
maralixibat	MYO5B
maralixibat	TJP2
maralixibat	ABCB11
febuxostat	AOX1
febuxostat	UGT1A10
febuxostat	UGT1A3
febuxostat	UGT1A4
febuxostat	UGT1A5
febuxostat	UGT1A6
febuxostat	UGT1A7
febuxostat	UGT1A8
febuxostat	XDH
febuxostat	UGT1A9
febuxostat	UGT1A1
carbocisteine	PAH
cortisone_acetate	CYP3A7
lamivudine_/_abacavir	HLA-B
furazolidone	G6PD
salmeterol	CYP3A5
salmeterol	ADRB2
zinc_acetate	SLC30A8
dexlansoprazole	CYP2C19
tafenoquine	G6PD
methylene_blue	BLVRB
desflurane	RYR1
desflurane	CACNA1S
ofloxacin	G6PD
inclisiran	LDLR
inclisiran	PCSK9
inclisiran	APOB
acetaminophen_/_tramadol	G6PD
olaratumab	PDGFRA
fluoxetine_glucuronide	ABCB1
losartan	CYP3A4
losartan	CYP3A5
losartan	CAMK1D
losartan	ABCB1
losartan	NPHS1
losartan	UGT2B7
losartan	STK39
losartan	UGT1A1
losartan	AGTR1
bosutinib	ABL1
bosutinib	BCR
bosutinib	CAMK2G
dichloroacetic_acid	GSTZ1
st._john's_wort	NR1I2
cholic_acid	CYP7A1
cholic_acid	HSD3B7
cholic_acid	CYP27A1
cholic_acid	AKR1D1
cholic_acid	AMACR
cholic_acid	DHCR7
cholic_acid	HSD3B2
Influenza_vaccines	HLA-DRB1
amifampridine_phosphate	NAT2
enflurane	RYR1
enflurane	CACNA1S
reserpine	ABCB1
reserpine	NR1I2
odevixibat	ATP8B1
odevixibat	JAG1
odevixibat	NOTCH2
odevixibat	ABCB11
erenumab	COMT
ecallantide	KLKB1
ezetimibe	SLCO1B1
isradipine	NR1I2
everolimus	ESR1
everolimus	RPTOR
everolimus	ABCB1
everolimus	ERBB2
everolimus	ESR2
everolimus	FGFR4
everolimus	MTOR
everolimus	PIK3R1
propionic_acid_derivatives	PLA2G4A
propionic_acid_derivatives	PLCG1
propionic_acid_derivatives	TNFRSF11A
chlorothiazide	HMGCS2
Plain_Multivitamins	DHFR
tegafur	DPYD
tegafur	UMPS
tegafur	EGFR
methylphenobarbital	CYP2C19
mepivacaine	G6PD
olanzapine_10-n-glucuronide	FMO3
umeclidinium	CYP2D6
alfentanil	COMT
alfentanil	OPRM1
levomepromazine	CYP2D6
desloratadine	CYP3A4
desloratadine	FCER1A
desloratadine	HRH1
aldosterone	ABCB1
itopride	FMO3
patisiran	TTR
ranolazine	CYP2D6
ranolazine	CYP3A4
ranolazine	ABCB1
entacapone	COMT
chloramphenicol	CYP2C19
methoxyflurane	CYP3A4
methoxyflurane	RYR1
methoxyflurane	CACNA1S
Opium_derivatives_and_expectorants	CYP2D6
zafirlukast	CYP2C9
zafirlukast	CYSLTR1
orciprenaline	ADRB2
ethanol	CHRNA3
ethanol	CYP2D6
ethanol	ANKS1B
ethanol	SRPRB
ethanol	CYP2E1
ethanol	ANKK1
ethanol	MED19
ethanol	SLC39A8
ethanol	RABGAP1L
ethanol	KLB
ethanol	FTO
ethanol	CADM2
ethanol	THSD7B
ethanol	TMX2
ethanol	ACSS2
ethanol	ADH1B
ethanol	ADH1C
ethanol	ALDH1A1
ethanol	ALDH2
ethanol	CAT
ethanol	CHRNA4
ethanol	CHRNA5
ethanol	CRHBP
ethanol	DPP6
ethanol	DRD2
ethanol	DRD4
ethanol	FUT2
ethanol	GCKR
ethanol	GHSR
ethanol	MAP2K4
ethanol	SLC6A3
ethanol	OPRK1
ethanol	OPRM1
ethanol	PDE4B
ethanol	PIP5K1C
ethanol	ARID4A
ethanol	SLC4A8
ethanol	TNRC6A
ethanol	TAS2R16
ethanol	PNPLA3
ethanol	CACNA1C
erythromycin_ethylsuccinate_/_sulfisoxazole_acetyl	G6PD
efavirenz	ABCC2
efavirenz	CYP2C19
efavirenz	HTR2A
efavirenz	ABCB1
efavirenz	HNF4A
efavirenz	IL10
efavirenz	HLA-DRB1
efavirenz	UGT2B7
efavirenz	NR1I2
efavirenz	ABCG2
efavirenz	NR1I3
efavirenz	UGT1A1
Leukotriene_receptor_antagonists	GLT1D1
Leukotriene_receptor_antagonists	PRORP
Leukotriene_receptor_antagonists	LTC4S
Leukotriene_receptor_antagonists	LTA4H
Leukotriene_receptor_antagonists	ABCC1
Leukotriene_receptor_antagonists	MLLT3
Leukotriene_receptor_antagonists	SLCO2B1
Leukotriene_receptor_antagonists	CYSLTR2
Leukotriene_receptor_antagonists	ALOX5
ritonavir	ABCC2
ritonavir	CYP2D6
ritonavir	CYP3A4
ritonavir	CYP3A5
ritonavir	ABCC1
ritonavir	ABCB1
ritonavir	UGT1A3
ritonavir	UGT1A7
ritonavir	NR1I2
ritonavir	APOC3
ritonavir	APOE
ruxolitinib	CYP3A4
abrocitinib	CYP2C19
abrocitinib	CYP2C9
daunorubicinol	AKR1A1
buprenorphine_/_naloxone	UGT2B7
denileukin_diftitox	IL2RA
eribulin	ESR1
eribulin	PGR
eribulin	ERBB2
eribulin	ESR2
phenylephrine	ADRA1D
phenylephrine	ADRA1B
phenylephrine	ADRA1A
phenylephrine	ADRB2
agomelatine	ABCB1
heroin	CES1
heroin	COMT
heroin	ANKS1B
heroin	BDNF-AS
heroin	DBH
heroin	ALDH2
heroin	CSNK1E
heroin	DRD2
heroin	GAL
heroin	GRM3
heroin	HTR3B
heroin	BDNF
heroin	OPRD1
heroin	OPRK1
heroin	OPRM1
heroin	SOD2
chlorthalidone	NPPA
chlorthalidone	MMP3
chlorthalidone	AGT
nevirapine	CYP2C19
nevirapine	CYP2C9
nevirapine	CYP2D6
nevirapine	CYP3A4
nevirapine	CYP3A5
nevirapine	CCHCR1
nevirapine	HCP5
nevirapine	POLR3G
nevirapine	CYCSP5
nevirapine	NAT2
nevirapine	ABCC10
nevirapine	TRAF3IP2
nevirapine	ABCB1
nevirapine	HLA-DQB1
nevirapine	TCF19
nevirapine	NR1I2
plazomicin	MT-RNR1
somatropin_recombinant	CDK4
somatropin_recombinant	COL1A1
rofecoxib	PTGS2
ticagrelor	CYP3A4
ticagrelor	SLCO1B1
ticagrelor	P2RY12
ticagrelor	PEAR1
ticagrelor	SVEP1
ticagrelor	NUP153
ticagrelor	UGT2B7
ticagrelor	CYP3A43
gentamicin	MT-RNR1
sipoglitazar	UGT2B15
atezolizumab	CD274
atezolizumab	ALK
atezolizumab	BRAF
atezolizumab	EGFR
gabapentin	SLC7A5
mecasermin	GH1
mecasermin	GHR
mecasermin	IGF1
tetanus_antitoxin	HLA-A
satralizumab	AQP4
satralizumab	IL6R
anifrolumab	IFNAR1
methimazole	HLA-B
methimazole	HLA-DRB1
dinutuximab	MYCN
3-hydroxycotinine	CYP2A6
articaine_/_epinephrine	CYB5R3
articaine_/_epinephrine	G6PD
docetaxel	ABCC2
docetaxel	CYP2A6
docetaxel	SLCO1B1
docetaxel	VAC14
docetaxel	PPCDC
docetaxel	SNORD68
docetaxel	ERCC1
docetaxel	ESR1
docetaxel	SULT1C4
docetaxel	NAT2
docetaxel	ABCC1
docetaxel	ACSS2
docetaxel	AKR1C3
docetaxel	BARD1
docetaxel	BCL2
docetaxel	CASP7
docetaxel	CHST3
docetaxel	PGR
docetaxel	ABCB1
docetaxel	CYP1A1
docetaxel	CYP1B1
docetaxel	CYP4B1
docetaxel	EPHX1
docetaxel	ERBB2
docetaxel	ERBB3
docetaxel	ERCC2
docetaxel	ESR2
docetaxel	HNF4A
docetaxel	MAP3K1
docetaxel	MDM4
docetaxel	SLC10A2
docetaxel	OPRM1
docetaxel	ORM2
docetaxel	PIK3CA
docetaxel	PPARD
docetaxel	PRDX4
docetaxel	RAF1
docetaxel	RNF8
docetaxel	RPL13
docetaxel	RXRA
docetaxel	SLCO1B3
docetaxel	SOX10
docetaxel	SPG7
docetaxel	VEGFA
docetaxel	XRCC4
docetaxel	NR1I2
docetaxel	ABCG2
docetaxel	NR1I3
docetaxel	ABCC6
docetaxel	ATP7A
ketamine	CYP2B6
estradiol_/_progesterone	PROC
estradiol_/_progesterone	PROS1
estradiol_/_progesterone	SERPINC1
oxazepam	CYP2C19
oxazepam	CYP3A4
oxazepam	UGT2B7
oxazepam	UGT2B15
oxazepam	UGT1A9
meloxicam	CYP2C9
meloxicam	CYP3A5
meloxicam	CYB5R3
meloxicam	G6PD
meloxicam	PTGS2
lapatinib	ESR1
lapatinib	PGR
lapatinib	ERBB2
lapatinib	ERBB3
lapatinib	ERBB4
lapatinib	ESR2
lapatinib	PIK3CA
lapatinib	HLA-A
lapatinib	HLA-B
lapatinib	HLA-C
lapatinib	HLA-DQA1
lapatinib	ABCB11
lapatinib	EGFR
lapatinib	CCND1
relugolix_/_estradiol_/_norethindrone_acetate	F5
relugolix_/_estradiol_/_norethindrone_acetate	PROC
relugolix_/_estradiol_/_norethindrone_acetate	PROS1
relugolix_/_estradiol_/_norethindrone_acetate	SERPINC1
fluticasone_propionate	CYP3A5
fluticasone_propionate	CA10
fluticasone_propionate	GLCCI1
infigratinib	FGFR2
artemisinin	CYP2A6
artemisinin	CYP2B6
